hour,day,month,is_weekend,is_rush_hour,is_holiday,temp_celsius,rain_1h,snow_1h,clouds_all,weather_code,traffic_volume,congestion_level,congestion_code
0,4,10,0,0,1,17.480000000000018,0.0,0.0,75,1,627,Low,0
1,4,10,0,0,1,17.310000000000002,0.0,0.0,40,1,388,Low,0
3,4,10,0,0,1,16.110000000000014,0.0,0.0,0,0,368,Low,0
5,4,10,0,0,1,10.060000000000002,0.0,0.0,75,1,2489,Medium,1
6,4,10,0,0,1,9.090000000000032,0.0,0.0,90,1,5537,High,2
7,4,10,0,1,1,8.54000000000002,0.0,0.0,90,1,6628,High,2
8,4,10,0,1,1,7.420000000000016,0.0,0.0,90,1,5534,High,2
9,4,10,0,1,1,6.8700000000000045,0.0,0.0,75,1,5403,High,2
10,4,10,0,0,1,6.960000000000036,0.0,0.0,75,1,4770,High,2
11,4,10,0,0,1,6.850000000000023,0.0,0.0,90,1,5217,High,2
12,4,10,0,0,1,7.3799999999999955,0.0,0.0,90,1,5870,High,2
13,4,10,0,0,1,8.28000000000003,0.0,0.0,75,1,5967,High,2
14,4,10,0,0,1,8.629999999999995,0.0,0.0,90,1,6108,High,2
15,4,10,0,0,1,8.760000000000048,0.0,0.0,90,1,6128,High,2
16,4,10,0,1,1,8.580000000000041,0.0,0.0,90,1,6069,High,2
17,4,10,0,1,1,8.270000000000039,0.0,0.0,90,1,6169,High,2
18,4,10,0,1,1,7.720000000000027,0.0,0.0,90,1,5384,High,2
19,4,10,0,0,1,7.0,0.0,0.0,90,1,4063,Medium,1
20,4,10,0,0,1,6.6299999999999955,0.0,0.0,90,1,3364,Medium,1
21,4,10,0,0,1,6.5,0.0,0.0,75,1,2971,Medium,1
22,4,10,0,0,1,6.07000000000005,0.0,0.0,40,1,2450,Medium,1
23,4,10,0,0,1,5.910000000000025,0.0,0.0,40,1,1832,Low,0
0,5,10,1,0,1,5.660000000000025,0.0,0.0,90,1,1231,Low,0
1,5,10,1,0,1,5.400000000000034,0.0,0.0,90,1,718,Low,0
2,5,10,1,0,1,5.439999999999998,0.0,0.0,90,1,545,Low,0
4,5,10,1,0,1,3.840000000000032,0.0,0.0,75,1,411,Low,0
5,5,10,1,0,1,3.2000000000000455,0.0,0.0,20,1,688,Low,0
6,5,10,1,0,1,2.25,0.0,0.0,1,0,1352,Low,0
7,5,10,1,0,1,2.0200000000000387,0.0,0.0,1,0,2072,Medium,1
8,5,10,1,0,1,1.8400000000000318,0.0,0.0,1,0,3342,Medium,1
9,5,10,1,0,1,1.9399999999999977,0.0,0.0,40,1,4258,Medium,1
10,5,10,1,0,1,3.730000000000018,0.0,0.0,20,1,4861,High,2
11,5,10,1,0,1,4.890000000000043,0.0,0.0,20,1,5191,High,2
12,5,10,1,0,1,5.930000000000007,0.0,0.0,40,1,5669,High,2
13,5,10,1,0,1,6.970000000000027,0.0,0.0,75,1,5074,High,2
14,5,10,1,0,1,7.100000000000023,0.0,0.0,75,1,5025,High,2
15,5,10,1,0,1,6.850000000000023,0.0,0.0,75,1,5153,High,2
16,5,10,1,0,1,5.910000000000025,0.0,0.0,90,1,5024,High,2
17,5,10,1,0,1,5.760000000000048,0.0,0.0,90,1,4779,High,2
18,5,10,1,0,1,5.240000000000009,0.0,0.0,90,1,4362,Medium,1
19,5,10,1,0,1,5.010000000000048,0.0,0.0,90,1,3860,Medium,1
20,5,10,1,0,1,5.010000000000048,0.0,0.0,90,1,3160,Medium,1
21,5,10,1,0,1,4.78000000000003,0.0,0.0,90,1,2992,Medium,1
22,5,10,1,0,1,3.75,0.0,0.0,90,1,3202,Medium,1
23,5,10,1,0,1,3.1899999999999977,0.0,0.0,75,1,1941,Low,0
0,6,10,1,0,1,2.9600000000000364,0.0,0.0,75,1,1233,Low,0
3,6,10,1,0,1,2.580000000000041,0.0,0.0,90,1,323,Low,0
4,6,10,1,0,1,2.5,0.0,0.0,90,1,312,Low,0
5,6,10,1,0,1,2.3600000000000136,0.0,0.0,75,1,627,Low,0
6,6,10,1,0,1,1.900000000000034,0.0,0.0,90,1,1508,Low,0
7,6,10,1,0,1,1.6200000000000045,0.0,0.0,90,1,1539,Low,0
8,6,10,1,0,1,1.6200000000000045,0.0,0.0,75,1,2232,Medium,1
9,6,10,1,0,1,2.400000000000034,0.0,0.0,75,1,4568,High,2
10,6,10,1,0,1,3.090000000000032,0.0,0.0,75,1,4624,High,2
11,6,10,1,0,1,3.8600000000000136,0.0,0.0,90,1,4529,High,2
12,6,10,1,0,1,4.28000000000003,0.0,0.0,90,1,5139,High,2
13,6,10,1,0,1,5.300000000000011,0.0,0.0,90,1,6640,High,2
14,6,10,1,0,1,6.1200000000000045,0.0,0.0,90,1,6589,High,2
15,6,10,1,0,1,6.1200000000000045,0.0,0.0,90,1,4429,Medium,1
16,6,10,1,0,1,6.2900000000000205,0.0,0.0,90,1,4329,Medium,1
17,6,10,1,0,1,6.170000000000016,0.0,0.0,90,1,3833,Medium,1
18,6,10,1,0,1,6.1200000000000045,0.0,0.0,90,1,4015,Medium,1
19,6,10,1,0,1,4.960000000000036,0.0,0.0,90,1,3382,Medium,1
20,6,10,1,0,1,3.640000000000043,0.0,0.0,75,1,2815,Medium,1
21,6,10,1,0,1,2.580000000000041,0.0,0.0,90,1,2110,Medium,1
22,6,10,1,0,1,1.7300000000000182,0.0,0.0,75,1,1555,Low,0
23,6,10,1,0,1,0.7700000000000387,0.0,0.0,20,1,959,Low,0
0,0,10,0,0,1,-0.06999999999999318,0.0,0.0,20,1,455,Low,0
1,0,10,0,0,1,-0.5299999999999727,0.0,0.0,20,1,336,Low,0
2,0,10,0,0,1,-1.3700000000000045,0.0,0.0,1,0,265,Low,0
3,0,10,0,0,1,-2.099999999999966,0.0,0.0,1,0,314,Low,0
4,0,10,0,0,1,-2.519999999999982,0.0,0.0,1,0,779,Low,0
5,0,10,0,0,1,-2.819999999999993,0.0,0.0,1,0,2571,Medium,1
6,0,10,0,0,1,-3.5399999999999636,0.0,0.0,20,1,5563,High,2
7,0,10,0,1,1,-3.1399999999999864,0.0,0.0,20,1,6676,High,2
8,0,10,0,1,1,-1.919999999999959,0.0,0.0,20,1,5966,High,2
9,0,10,0,1,1,0.5600000000000023,0.0,0.0,20,1,4832,High,2
10,0,10,0,0,1,3.6200000000000045,0.0,0.0,20,1,4395,Medium,1
11,0,10,0,0,1,6.32000000000005,0.0,0.0,20,1,4411,Medium,1
12,0,10,0,0,1,6.689999999999998,0.0,0.0,1,0,4648,High,2
13,0,10,0,0,1,9.189999999999998,0.0,0.0,40,1,4602,High,2
14,0,10,0,0,1,9.79000000000002,0.0,0.0,40,1,5125,High,2
15,0,10,0,0,1,10.330000000000041,0.0,0.0,1,0,5502,High,2
16,0,10,0,1,1,11.180000000000007,0.0,0.0,1,0,5979,High,2
17,0,10,0,1,1,11.330000000000041,0.0,0.0,40,1,5663,High,2
18,0,10,0,1,1,11.080000000000041,0.0,0.0,40,1,4259,Medium,1
19,0,10,0,0,1,8.840000000000032,0.0,0.0,20,1,3069,Medium,1
20,0,10,0,0,1,6.660000000000025,0.0,0.0,1,0,2378,Medium,1
21,0,10,0,0,1,6.2000000000000455,0.0,0.0,1,0,2030,Medium,1
22,0,10,0,0,1,5.75,0.0,0.0,1,0,1400,Low,0
23,0,10,0,0,1,5.310000000000002,0.0,0.0,1,0,917,Low,0
0,1,10,0,0,1,4.6299999999999955,0.0,0.0,1,0,515,Low,0
1,1,10,0,0,1,4.1200000000000045,0.0,0.0,1,0,302,Low,0
2,1,10,0,0,1,4.32000000000005,0.0,0.0,1,0,251,Low,0
4,1,10,0,0,1,3.82000000000005,0.0,0.0,20,1,798,Low,0
5,1,10,0,0,1,3.3700000000000045,0.0,0.0,40,1,2678,Medium,1
6,1,10,0,0,1,3.4500000000000455,0.0,0.0,40,1,5733,High,2
7,1,10,0,1,1,4.160000000000025,0.0,0.0,75,1,6449,High,2
8,1,10,0,1,1,5.230000000000018,0.0,0.0,90,1,5765,High,2
9,1,10,0,1,1,6.2000000000000455,0.0,0.0,90,1,5599,High,2
10,1,10,0,0,1,8.220000000000027,0.0,0.0,90,1,4534,High,2
11,1,10,0,0,1,9.960000000000036,0.0,0.0,90,1,4691,High,2
12,1,10,0,0,1,10.930000000000007,0.0,0.0,75,1,5067,High,2
13,1,10,0,0,1,11.990000000000009,0.0,0.0,75,1,5030,High,2
14,1,10,0,0,1,13.200000000000045,0.0,0.0,90,1,5300,High,2
15,1,10,0,0,1,14.080000000000041,0.0,0.0,100,6,5777,High,2
16,1,10,0,1,1,15.379999999999995,0.0,0.0,90,1,6349,High,2
17,1,10,0,1,1,17.220000000000027,0.0,0.0,90,1,6127,High,2
18,1,10,0,1,1,16.980000000000018,0.0,0.0,90,1,4460,Medium,1
19,1,10,0,0,1,15.710000000000036,0.0,0.0,75,1,3418,Medium,1
20,1,10,0,0,1,14.210000000000036,0.0,0.0,90,1,2775,Medium,1
21,1,10,0,0,1,11.960000000000036,0.0,0.0,90,1,2306,Medium,1
22,1,10,0,0,1,10.310000000000002,0.0,0.0,90,1,1846,Low,0
23,1,10,0,0,1,9.300000000000011,0.0,0.0,90,1,947,Low,0
0,2,10,0,0,1,8.730000000000018,0.0,0.0,90,1,494,Low,0
1,2,10,0,0,1,8.629999999999995,0.0,0.0,90,1,332,Low,0
2,2,10,0,0,1,7.939999999999998,0.0,0.0,75,1,261,Low,0
3,2,10,0,0,1,8.020000000000039,0.0,0.0,90,1,361,Low,0
6,2,10,0,0,1,8.100000000000023,0.0,0.0,92,0,5875,High,2
7,2,10,0,1,1,8.100000000000023,0.0,0.0,99,6,6793,High,2
7,2,10,0,1,1,8.100000000000023,0.0,0.0,99,2,6793,High,2
8,2,10,0,1,1,6.9500000000000455,0.0,0.0,99,6,6283,High,2
8,2,10,0,1,1,6.9500000000000455,0.0,0.0,99,2,6283,High,2
9,2,10,0,1,1,6.460000000000036,0.0,0.0,99,6,5680,High,2
9,2,10,0,1,1,6.460000000000036,0.0,0.0,99,2,5680,High,2
10,2,10,0,0,1,6.520000000000039,0.0,0.0,99,0,4632,High,2
11,2,10,0,0,1,7.0400000000000205,0.0,0.0,1,0,4887,High,2
12,2,10,0,0,1,8.939999999999998,0.0,0.0,75,1,5030,High,2
13,2,10,0,0,1,9.110000000000014,0.0,0.0,75,1,5067,High,2
14,2,10,0,0,1,8.900000000000034,0.0,0.0,90,1,5227,High,2
15,2,10,0,0,1,8.439999999999998,0.0,0.0,90,1,5610,High,2
16,2,10,0,1,1,8.080000000000041,0.0,0.0,81,0,6286,High,2
18,2,10,0,1,1,9.450000000000045,0.0,0.0,81,0,4775,High,2
19,2,10,0,0,1,9.450000000000045,0.0,0.0,81,0,3340,Medium,1
20,2,10,0,0,1,9.450000000000045,0.0,0.0,81,0,3013,Medium,1
21,2,10,0,0,1,9.450000000000045,0.0,0.0,81,0,2603,Medium,1
22,2,10,0,0,1,9.450000000000045,0.0,0.0,81,0,1910,Low,0
23,2,10,0,0,1,9.450000000000045,0.0,0.0,81,0,1037,Low,0
1,3,10,0,0,1,0.75,0.0,0.0,1,0,347,Low,0
3,3,10,0,0,1,1.25,0.0,0.0,75,1,350,Low,0
4,3,10,0,0,1,0.9000000000000341,0.0,0.0,75,1,850,Low,0
5,3,10,0,0,1,0.5600000000000023,0.0,0.0,40,1,2791,Medium,1
6,3,10,0,0,1,-0.48999999999995225,0.0,0.0,1,0,5809,High,2
7,3,10,0,1,1,-0.5,0.0,0.0,1,0,6798,High,2
8,3,10,0,1,1,-0.6299999999999955,0.0,0.0,1,0,6304,High,2
9,3,10,0,1,1,2.0400000000000205,0.0,0.0,20,1,5291,High,2
10,3,10,0,0,1,2.1899999999999977,0.0,0.0,1,0,4638,High,2
14,3,10,0,0,1,10.950000000000045,0.0,0.0,50,0,5557,High,2
15,3,10,0,0,1,10.950000000000045,0.0,0.0,50,0,5818,High,2
16,3,10,0,1,1,10.629999999999995,0.0,0.0,75,1,6272,High,2
17,3,10,0,1,1,10.370000000000005,0.0,0.0,75,1,5944,High,2
18,3,10,0,1,1,10.170000000000016,0.0,0.0,90,1,4949,High,2
19,3,10,0,0,1,8.910000000000025,0.0,0.0,90,1,3511,Medium,1
20,3,10,0,0,1,8.800000000000011,0.0,0.0,90,1,3039,Medium,1
21,3,10,0,0,1,8.660000000000025,0.0,0.0,90,1,2679,Medium,1
22,3,10,0,0,1,9.010000000000048,0.0,0.0,90,1,2094,Medium,1
23,3,10,0,0,1,9.379999999999995,0.0,0.0,90,1,1284,Low,0
0,4,10,0,0,1,10.760000000000048,0.0,0.0,90,1,630,Low,0
1,4,10,0,0,1,11.490000000000009,0.0,0.0,90,1,410,Low,0
2,4,10,0,0,1,11.460000000000036,0.0,0.0,90,1,331,Low,0
3,4,10,0,0,1,10.03000000000003,0.0,0.0,72,2,372,Low,0
4,4,10,0,0,1,9.110000000000014,0.0,0.0,72,6,739,Low,0
5,4,10,0,0,1,7.6200000000000045,0.0,0.0,72,2,2561,Medium,1
6,4,10,0,0,1,5.3799999999999955,0.0,0.0,75,1,5586,High,2
7,4,10,0,1,1,4.490000000000009,0.0,0.0,75,1,6992,High,2
8,4,10,0,1,1,4.75,0.0,0.0,90,1,5860,High,2
9,4,10,0,1,1,5.03000000000003,0.0,0.0,90,1,5230,High,2
10,4,10,0,0,1,6.140000000000043,0.0,0.0,75,1,4864,High,2
11,4,10,0,0,1,7.300000000000011,0.0,0.0,75,1,5146,High,2
12,4,10,0,0,1,7.800000000000011,0.0,0.0,40,1,5526,High,2
13,4,10,0,0,1,8.590000000000032,0.0,0.0,40,1,5383,High,2
14,4,10,0,0,1,8.689999999999998,0.0,0.0,75,1,5758,High,2
15,4,10,0,0,1,9.300000000000011,0.0,0.0,75,1,5889,High,2
16,4,10,0,1,1,9.050000000000011,0.0,0.0,75,1,6057,High,2
17,4,10,0,1,1,8.390000000000043,0.0,0.0,40,1,6028,High,2
18,4,10,0,1,1,7.060000000000002,0.0,0.0,20,1,5257,High,2
23,4,10,0,0,1,9.050000000000011,0.0,0.0,56,0,1897,Low,0
0,5,10,1,0,1,-0.5699999999999932,0.0,0.0,1,0,1335,Low,0
1,5,10,1,0,1,-1.089999999999975,0.0,0.0,1,0,769,Low,0
2,5,10,1,0,1,-2.159999999999968,0.0,0.0,1,0,570,Low,0
3,5,10,1,0,1,-2.859999999999957,0.0,0.0,20,1,413,Low,0
4,5,10,1,0,1,-3.669999999999959,0.0,0.0,1,0,399,Low,0
5,5,10,1,0,1,-3.8799999999999955,0.0,0.0,1,0,740,Low,0
6,5,10,1,0,1,-4.239999999999952,0.0,0.0,1,0,1420,Low,0
7,5,10,1,0,1,-4.169999999999959,0.0,0.0,75,1,2220,Medium,1
8,5,10,1,0,1,-3.919999999999959,0.0,0.0,40,1,3479,Medium,1
9,5,10,1,0,1,-0.5399999999999636,0.0,0.0,40,1,4546,High,2
10,5,10,1,0,1,3.6299999999999955,0.0,0.0,20,1,4579,High,2
11,5,10,1,0,1,6.07000000000005,0.0,0.0,1,0,4438,Medium,1
12,5,10,1,0,1,7.2000000000000455,0.0,0.0,1,0,4623,High,2
13,5,10,1,0,1,8.660000000000025,0.0,0.0,1,0,4440,Medium,1
14,5,10,1,0,1,9.900000000000034,0.0,0.0,1,0,4495,Medium,1
15,5,10,1,0,1,10.810000000000002,0.0,0.0,1,0,4483,Medium,1
16,5,10,1,0,1,11.379999999999995,0.0,0.0,1,0,4591,High,2
17,5,10,1,0,1,11.29000000000002,0.0,0.0,1,0,4477,Medium,1
18,5,10,1,0,1,10.490000000000009,0.0,0.0,1,0,4221,Medium,1
19,5,10,1,0,1,8.700000000000045,0.0,0.0,20,1,3672,Medium,1
20,5,10,1,0,1,8.230000000000018,0.0,0.0,1,0,3015,Medium,1
21,5,10,1,0,1,8.689999999999998,0.0,0.0,75,1,2769,Medium,1
22,5,10,1,0,1,9.080000000000041,0.0,0.0,90,1,2875,Medium,1
23,5,10,1,0,1,9.03000000000003,0.0,0.0,90,1,1931,Low,0
0,6,10,1,0,1,9.340000000000032,0.0,0.0,90,1,1309,Low,0
1,6,10,1,0,1,9.390000000000043,0.0,0.0,90,1,870,Low,0
2,6,10,1,0,1,9.430000000000007,0.0,0.0,90,1,654,Low,0
3,6,10,1,0,1,9.080000000000041,0.0,0.0,90,1,364,Low,0
4,6,10,1,0,1,8.930000000000007,0.0,0.0,90,1,262,Low,0
5,6,10,1,0,1,9.080000000000041,0.0,0.0,90,1,505,Low,0
6,6,10,1,0,1,9.090000000000032,0.0,0.0,90,1,861,Low,0
7,6,10,1,0,1,9.090000000000032,0.0,0.0,90,1,1132,Low,0
8,6,10,1,0,1,9.090000000000032,0.0,0.0,57,5,1797,Low,0
9,6,10,1,0,1,9.28000000000003,0.0,0.0,57,2,2685,Medium,1
9,6,10,1,0,1,9.28000000000003,0.0,0.0,57,5,2685,Medium,1
9,6,10,1,0,1,9.28000000000003,0.0,0.0,57,4,2685,Medium,1
10,6,10,1,0,1,9.180000000000007,0.0,0.0,57,2,3370,Medium,1
10,6,10,1,0,1,9.180000000000007,0.0,0.0,57,5,3370,Medium,1
11,6,10,1,0,1,9.670000000000016,0.0,0.0,57,2,3662,Medium,1
11,6,10,1,0,1,9.670000000000016,0.0,0.0,57,5,3662,Medium,1
12,6,10,1,0,1,10.180000000000007,0.0,0.0,57,5,4076,Medium,1
12,6,10,1,0,1,10.180000000000007,0.0,0.0,57,6,4076,Medium,1
12,6,10,1,0,1,10.180000000000007,0.0,0.0,57,2,4076,Medium,1
13,6,10,1,0,1,10.600000000000023,0.0,0.0,93,6,4128,Medium,1
13,6,10,1,0,1,10.600000000000023,0.0,0.0,93,5,4128,Medium,1
13,6,10,1,0,1,10.600000000000023,0.0,0.0,93,2,4128,Medium,1
14,6,10,1,0,1,10.939999999999998,0.0,0.0,93,5,4358,Medium,1
14,6,10,1,0,1,10.939999999999998,0.0,0.0,93,6,4358,Medium,1
14,6,10,1,0,1,10.939999999999998,0.0,0.0,93,2,4358,Medium,1
15,6,10,1,0,1,11.400000000000034,0.0,0.0,93,5,4342,Medium,1
15,6,10,1,0,1,11.400000000000034,0.0,0.0,93,6,4342,Medium,1
16,6,10,1,0,1,11.53000000000003,0.0,0.0,93,5,4234,Medium,1
17,6,10,1,0,1,11.490000000000009,0.0,0.0,93,6,4271,Medium,1
17,6,10,1,0,1,11.490000000000009,0.0,0.0,93,5,4271,Medium,1
18,6,10,1,0,1,11.25,0.0,0.0,93,5,4080,Medium,1
19,6,10,1,0,1,11.020000000000039,0.0,0.0,93,5,3453,Medium,1
20,6,10,1,0,1,10.879999999999995,0.0,0.0,93,5,2718,Medium,1
21,6,10,1,0,1,10.430000000000007,0.0,0.0,93,5,2439,Medium,1
22,6,10,1,0,1,9.890000000000043,0.0,0.0,93,5,1819,Low,0
23,6,10,1,0,1,8.800000000000011,0.0,0.0,93,5,1002,Low,0
23,6,10,1,0,1,8.800000000000011,0.0,0.0,93,3,1002,Low,0
0,0,10,0,0,1,8.460000000000036,0.0,0.0,93,5,542,Low,0
0,0,10,0,0,1,8.460000000000036,0.0,0.0,93,3,542,Low,0
1,0,10,0,0,1,8.420000000000016,0.0,0.0,85,3,303,Low,0
2,0,10,0,0,1,8.270000000000039,0.0,0.0,85,3,239,Low,0
3,0,10,0,0,1,8.140000000000043,0.0,0.0,85,5,335,Low,0
3,0,10,0,0,1,8.140000000000043,0.0,0.0,85,3,335,Low,0
4,0,10,0,0,1,7.8700000000000045,0.0,0.0,85,5,810,Low,0
4,0,10,0,0,1,7.8700000000000045,0.0,0.0,85,3,810,Low,0
5,0,10,0,0,1,7.670000000000016,0.0,0.0,85,5,2606,Medium,1
5,0,10,0,0,1,7.670000000000016,0.0,0.0,85,3,2606,Medium,1
6,0,10,0,0,1,7.240000000000009,0.0,0.0,85,5,5714,High,2
7,0,10,0,1,1,7.0400000000000205,0.0,0.0,100,5,6798,High,2
8,0,10,0,1,1,6.670000000000016,0.0,0.0,100,5,6114,High,2
9,0,10,0,1,1,6.600000000000023,0.0,0.0,100,5,5094,High,2
10,0,10,0,0,1,6.920000000000016,0.0,0.0,100,5,4473,Medium,1
11,0,10,0,0,1,7.170000000000016,0.0,0.0,90,1,4529,High,2
12,0,10,0,0,1,8.57000000000005,0.0,0.0,100,0,4823,High,2
13,0,10,0,0,1,10.860000000000014,0.0,0.0,40,1,4872,High,2
14,0,10,0,0,1,12.730000000000018,0.0,0.0,1,0,5238,High,2
15,0,10,0,0,1,13.720000000000027,0.0,0.0,1,0,5584,High,2
16,0,10,0,1,1,14.450000000000045,0.0,0.0,20,1,6246,High,2
17,0,10,0,1,1,14.120000000000005,0.0,0.0,20,1,5957,High,2
18,0,10,0,1,1,13.03000000000003,0.0,0.0,20,1,4535,High,2
19,0,10,0,0,1,12.050000000000011,0.0,0.0,75,1,3234,Medium,1
20,0,10,0,0,1,11.53000000000003,0.0,0.0,75,1,2677,Medium,1
21,0,10,0,0,1,11.340000000000032,0.0,0.0,90,1,2077,Medium,1
22,0,10,0,0,1,10.390000000000043,0.0,0.0,20,1,1380,Low,0
23,0,10,0,0,1,9.180000000000007,0.0,0.0,75,1,927,Low,0
0,1,10,0,0,1,8.060000000000002,0.0,0.0,20,1,500,Low,0
1,1,10,0,0,1,6.720000000000027,0.0,0.0,1,0,324,Low,0
2,1,10,0,0,1,5.78000000000003,0.0,0.0,1,0,257,Low,0
3,1,10,0,0,1,4.760000000000048,0.0,0.0,1,0,354,Low,0
4,1,10,0,0,1,4.060000000000002,0.0,0.0,1,0,769,Low,0
5,1,10,0,0,1,3.4600000000000364,0.0,0.0,1,0,2769,Medium,1
6,1,10,0,0,1,2.9600000000000364,0.0,0.0,1,0,5789,High,2
7,1,10,0,1,1,1.660000000000025,0.0,0.0,20,1,7055,High,2
8,1,10,0,1,1,1.8400000000000318,0.0,0.0,20,1,6408,High,2
9,1,10,0,1,1,4.760000000000048,0.0,0.0,20,1,5254,High,2
10,1,10,0,0,1,7.560000000000002,0.0,0.0,20,1,4547,High,2
11,1,10,0,0,1,10.700000000000045,0.0,0.0,20,1,4784,High,2
12,1,10,0,0,1,12.860000000000014,0.0,0.0,40,1,5015,High,2
13,1,10,0,0,1,13.160000000000025,0.0,0.0,1,0,5057,High,2
14,1,10,0,0,1,15.0,0.0,0.0,75,1,5430,High,2
15,1,10,0,0,1,16.0,0.0,0.0,75,1,5813,High,2
16,1,10,0,1,1,15.840000000000032,0.0,0.0,75,1,6496,High,2
17,1,10,0,1,1,15.710000000000036,0.0,0.0,75,1,6429,High,2
18,1,10,0,1,1,15.010000000000048,0.0,0.0,90,1,5142,High,2
19,1,10,0,0,1,14.129999999999995,0.0,0.0,68,6,3311,Medium,1
20,1,10,0,0,1,13.890000000000043,0.0,0.0,90,1,2777,Medium,1
21,1,10,0,0,1,13.75,0.0,0.0,90,1,2331,Medium,1
22,1,10,0,0,1,13.939999999999998,0.0,0.0,90,1,1767,Low,0
